ESTADO_CODIGO;ESTADO_SIGLA;ESTADO_NOME;REGIAO_SAUDE_CODIGO;REGIAO_SAUDE_NOME;ANO;MES;REGIAO_SAUDE_POPULACAO;TIPO;REGIAO_SAUDE_QTDE_CAPS;REGIAO_SAUDE_IC
11;RO;Rondônia;11001;Vale do Jamari;2018;12;219617;CAPS I;2;0,4553381568822086
11;RO;Rondônia;11001;Vale do Jamari;2018;12;219617;CAPS II;1;0,4553381568822086
11;RO;Rondônia;11001;Vale do Jamari;2019;12;219617;CAPS I;2;0,4553381568822086
11;RO;Rondônia;11001;Vale do Jamari;2019;12;219617;CAPS II;1;0,4553381568822086
11;RO;Rondônia;11001;Vale do Jamari;2020;12;219617;CAPS I;2;0,4553381568822086
11;RO;Rondônia;11001;Vale do Jamari;2020;12;219617;CAPS II;1;0,4553381568822086
11;RO;Rondônia;11001;Vale do Jamari;2021;12;219617;CAPS I;2;0,4553381568822086
11;RO;Rondônia;11001;Vale do Jamari;2021;12;219617;CAPS II;1;0,4553381568822086
11;RO;Rondônia;11001;Vale do Jamari;2022;12;219617;CAPS I;2;0,4553381568822086
11;RO;Rondônia;11001;Vale do Jamari;2022;12;219617;CAPS II;1;0,4553381568822086
11;RO;Rondônia;11002;Café;2018;12;174158;CAPS I;2;0,5741912516220903
11;RO;Rondônia;11002;Café;2018;12;174158;CAPS II;1;0,5741912516220903
11;RO;Rondônia;11002;Café;2019;12;174158;CAPS I;2;0,5741912516220903
11;RO;Rondônia;11002;Café;2019;12;174158;CAPS II;1;0,5741912516220903
11;RO;Rondônia;11002;Café;2020;12;174158;CAPS I;2;0,5741912516220903
11;RO;Rondônia;11002;Café;2020;12;174158;CAPS II;1;0,5741912516220903
11;RO;Rondônia;11002;Café;2021;12;174158;CAPS I;2;0,5741912516220903
11;RO;Rondônia;11002;Café;2021;12;174158;CAPS II;1;0,5741912516220903
11;RO;Rondônia;11002;Café;2022;12;174158;CAPS I;2;0,5741912516220903
11;RO;Rondônia;11002;Café;2022;12;174158;CAPS II;1;0,5741912516220903
11;RO;Rondônia;11003;Central;2018;12;341752;CAPS ALCOOL E DROGA;1;0,29260984573608934
11;RO;Rondônia;11003;Central;2018;12;341752;CAPS I;2;0,29260984573608934
11;RO;Rondônia;11003;Central;2018;12;341752;CAPS II;2;0,5852196914721787
11;RO;Rondônia;11003;Central;2019;12;341752;CAPS ALCOOL E DROGA;1;0,29260984573608934
11;RO;Rondônia;11003;Central;2019;12;341752;CAPS I;2;0,29260984573608934
11;RO;Rondônia;11003;Central;2019;12;341752;CAPS II;2;0,5852196914721787
11;RO;Rondônia;11003;Central;2020;12;341752;CAPS ALCOOL E DROGA;1;0,29260984573608934
11;RO;Rondônia;11003;Central;2020;12;341752;CAPS I;3;0,438914768604134
11;RO;Rondônia;11003;Central;2020;12;341752;CAPS II;1;0,29260984573608934
11;RO;Rondônia;11003;Central;2021;12;341752;CAPS ALCOOL E DROGA;1;0,29260984573608934
11;RO;Rondônia;11003;Central;2021;12;341752;CAPS I;3;0,438914768604134
11;RO;Rondônia;11003;Central;2021;12;341752;CAPS II;1;0,29260984573608934
11;RO;Rondônia;11003;Central;2022;12;341752;CAPS ALCOOL E DROGA;1;0,29260984573608934
11;RO;Rondônia;11003;Central;2022;12;341752;CAPS I;3;0,438914768604134
11;RO;Rondônia;11003;Central;2022;12;341752;CAPS II;1;0,29260984573608934
11;RO;Rondônia;11004;Madeira-Mamoré;2018;12;558625;CAPS ALCOOL E DROGA;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;2018;12;558625;CAPS I;2;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;2018;12;558625;CAPS II;2;0,35802192884314166
11;RO;Rondônia;11004;Madeira-Mamoré;2018;12;558625;CAPS INFANTO/JUVENIL;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;2019;12;558625;CAPS ALCOOL E DROGA;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;2019;12;558625;CAPS I;2;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;2019;12;558625;CAPS II;2;0,35802192884314166
11;RO;Rondônia;11004;Madeira-Mamoré;2019;12;558625;CAPS INFANTO/JUVENIL;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;2020;12;558625;CAPS ALCOOL E DROGA;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;2020;12;558625;CAPS I;2;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;2020;12;558625;CAPS II;2;0,35802192884314166
11;RO;Rondônia;11004;Madeira-Mamoré;2020;12;558625;CAPS INFANTO/JUVENIL;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;2021;12;558625;CAPS ALCOOL E DROGA;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;2021;12;558625;CAPS I;2;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;2021;12;558625;CAPS II;2;0,35802192884314166
11;RO;Rondônia;11004;Madeira-Mamoré;2021;12;558625;CAPS INFANTO/JUVENIL;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;2022;12;558625;CAPS ALCOOL E DROGA;1;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;2022;12;558625;CAPS I;2;0,17901096442157083
11;RO;Rondônia;11004;Madeira-Mamoré;2022;12;558625;CAPS II;2;0,35802192884314166
11;RO;Rondônia;11004;Madeira-Mamoré;2022;12;558625;CAPS INFANTO/JUVENIL;1;0,17901096442157083
11;RO;Rondônia;11005;Zona da Mata;2018;12;131385;CAPS I;2;0,7611218936712715
11;RO;Rondônia;11005;Zona da Mata;2019;12;131385;CAPS I;2;0,7611218936712715
11;RO;Rondônia;11005;Zona da Mata;2020;12;131385;CAPS I;2;0,7611218936712715
11;RO;Rondônia;11005;Zona da Mata;2021;12;131385;CAPS I;2;0,7611218936712715
11;RO;Rondônia;11005;Zona da Mata;2022;12;131385;CAPS I;2;0,7611218936712715
