CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Unidade da Federação
Tipo de Estabelecimento: HOSPITAL GERAL
Leitos clínicos: Saude Mental
Período:Dez/2015
"Unidade da Federação";"Quantidade_existente"
"11 Rondônia";12
"12 Acre";18
"15 Pará";9
"17 Tocantins";21
"21 Maranhão";101
"22 Piauí";35
"23 Ceará";43
"24 Rio Grande do Norte";49
"25 Paraíba";43
"26 Pernambuco";55
"27 Alagoas";16
"28 Sergipe";30
"29 Bahia";2
"31 Minas Gerais";230
"33 Rio de Janeiro";170
"35 São Paulo";99
"41 Paraná";104
"42 Santa Catarina";56
"43 Rio Grande do Sul";479
"50 Mato Grosso do Sul";25
"51 Mato Grosso";5
"52 Goiás";21
"53 Distrito Federal";30
"Total";1653
 A partir da competência de Janeiro 2010 os dados referentes
 a leitos Complementares foram retirados da consulta referente
 a leitos de Internação, passando a constituir uma consulta específica conforme descrito na Nota Técnica.
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
