CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Unidade da Federação
Tipo de Estabelecimento: HOSPITAL GERAL
Leitos clínicos: Saude Mental
Período:Dez/2019
"Unidade da Federação";"Quantidade_existente"
"11 Rondônia";12
"12 Acre";24
"13 Amazonas";4
"14 Roraima";11
"15 Pará";23
"17 Tocantins";21
"21 Maranhão";131
"22 Piauí";31
"23 Ceará";63
"24 Rio Grande do Norte";52
"25 Paraíba";35
"26 Pernambuco";105
"27 Alagoas";15
"28 Sergipe";30
"29 Bahia";33
"31 Minas Gerais";442
"32 Espírito Santo";40
"33 Rio de Janeiro";203
"35 São Paulo";214
"41 Paraná";169
"42 Santa Catarina";95
"43 Rio Grande do Sul";617
"50 Mato Grosso do Sul";13
"51 Mato Grosso";3
"52 Goiás";30
"53 Distrito Federal";45
"Total";2461
 A partir da competência de Janeiro 2010 os dados referentes
 a leitos Complementares foram retirados da consulta referente
 a leitos de Internação, passando a constituir uma consulta específica conforme descrito na Nota Técnica.
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
