CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Unidade da Federação
Tipo de Estabelecimento: HOSPITAL GERAL
Leitos clínicos: Saude Mental
Período:Dez/2022
"Unidade da Federação";"Quantidade_existente"
"11 Rondônia";12
"12 Acre";18
"13 Amazonas";7
"14 Roraima";11
"15 Pará";52
"17 Tocantins";21
"21 Maranhão";111
"22 Piauí";39
"23 Ceará";105
"24 Rio Grande do Norte";69
"25 Paraíba";35
"26 Pernambuco";155
"27 Alagoas";31
"28 Sergipe";29
"29 Bahia";37
"31 Minas Gerais";515
"32 Espírito Santo";52
"33 Rio de Janeiro";213
"35 São Paulo";217
"41 Paraná";196
"42 Santa Catarina";91
"43 Rio Grande do Sul";681
"50 Mato Grosso do Sul";13
"51 Mato Grosso";4
"52 Goiás";42
"53 Distrito Federal";59
"Total";2815
 A partir da competência de Janeiro 2010 os dados referentes
 a leitos Complementares foram retirados da consulta referente
 a leitos de Internação, passando a constituir uma consulta específica conforme descrito na Nota Técnica.
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
